4.2170318831e+02,0.0000000000e+00,0.0000000000e+00,4.2170318830e+02;
8.8655028902e+01,-0.0000000000e+00,-0.0000000000e+00,-8.8655028865e+01;
3.3765816605e+02,1.8756789113e+01,1.2295373972e+02,3.1391654598e+02;
2.3550528973e+01,-8.5937115942e-02,2.3162642320e+01,-4.2558223670e+00;
1.4914952219e+02,-1.8670851997e+01,-1.4611638204e+02,2.3387435824e+01;
1.3195745657e+02,-1.6531299016e+01,-1.2927702804e+02,2.0662442225e+01;
1.7192065623e+01,-2.1395529804e+00,-1.6839354005e+01,2.7249935989e+00;
3.6584351387e+02,0.0000000000e+00,0.0000000000e+00,3.6584351386e+02;
5.5087096399e+02,-0.0000000000e+00,-0.0000000000e+00,-5.5087096398e+02;
2.5528772719e+02,9.7644667932e+01,-1.4682920969e+02,-1.8460369891e+02;
3.0495293299e+02,7.5449618088e+01,4.0859408441e+01,2.9263314099e+02;
3.5647381768e+02,-1.7309428602e+02,1.0596980125e+02,-2.9305689219e+02;
3.4343271906e+02,-1.6677655410e+02,1.0209817932e+02,-2.8232530051e+02;
1.3041098620e+01,-6.3177319233e+00,3.8716219370e+00,-1.0731591687e+01;
1.5251854906e+03,0.0000000000e+00,0.0000000000e+00,1.5251854906e+03;
3.7155187213e+02,-0.0000000000e+00,-0.0000000000e+00,-3.7155187212e+02;
2.9747166824e+02,-3.4691662926e+01,-3.2816001618e+01,2.9361367809e+02;
3.7020107185e+02,1.1467617644e+01,2.9799331001e+01,-3.6882153843e+02;
1.2290646226e+03,2.3224045283e+01,3.0166706177e+00,1.2288414788e+03;
6.1886393350e+02,1.1644917840e+01,1.5088438379e+00,6.1875252522e+02;
6.1020068914e+02,1.1579127443e+01,1.5078267798e+00,6.1008895359e+02;
3.0630934697e+02,0.0000000000e+00,0.0000000000e+00,3.0630934696e+02;
4.0125100012e+02,-0.0000000000e+00,-0.0000000000e+00,-4.0125100011e+02;
2.9677153774e+02,-2.9665889697e+01,-4.2036340390e+00,2.9525516092e+02;
3.9290761687e+02,1.6055313540e+01,1.5613541449e+01,-3.9226883590e+02;
1.7881192490e+01,1.3610576158e+01,-1.1409907410e+01,2.0720218263e+00;
5.7678168679e+00,4.4032780728e+00,-3.6577137737e+00,7.0709517373e-01;
1.2113375622e+01,9.2072980847e+00,-7.7521936368e+00,1.3649266526e+00;
1.3898076395e+03,0.0000000000e+00,0.0000000000e+00,1.3898076395e+03;
3.1166732455e+03,-0.0000000000e+00,-0.0000000000e+00,-3.1166732455e+03;
1.5432578434e+03,-5.2978918164e+02,4.2665278773e+02,-1.3852565080e+03;
1.2380828459e+03,-4.3695979062e+02,-4.0052884562e+02,1.0869645434e+03;
1.7251401957e+03,9.6674897227e+02,-2.6123942108e+01,-1.4285736414e+03;
7.9664043914e+02,4.4638778594e+02,-1.2054195578e+01,-6.5971859926e+02;
9.2849975653e+02,5.2036118633e+02,-1.4069746529e+01,-7.6885504218e+02;
5.3691318393e+01,-0.0000000000e+00,0.0000000000e+00,5.3691318157e+01;
4.2244751910e+02,0.0000000000e+00,-0.0000000000e+00,-4.2244751909e+02;
3.1465495634e+02,1.6107964195e+01,2.0836815653e+01,-3.1355079676e+02;
1.0897495037e+02,-3.7222824022e+01,-9.6587167413e+00,-1.0196426014e+02;
5.2508930780e+01,2.1114859828e+01,-1.1178098911e+01,4.6758855961e+01;
3.5998768700e+01,1.4517729728e+01,-7.6516005733e+00,3.2040597375e+01;
1.6510162079e+01,6.5971301001e+00,-3.5264983381e+00,1.4718258586e+01;
9.0692848478e+02,0.0000000000e+00,0.0000000000e+00,9.0692848478e+02;
6.1702885736e+01,-0.0000000000e+00,-0.0000000000e+00,-6.1689814460e+01;
8.2461377389e+01,1.3512449102e+01,2.8186568753e+01,7.6307337888e+01;
2.3497619917e+02,1.6874518437e+02,-7.4630880537e+01,1.4549053473e+02;
