1.1395311330e+03,0.0000000000e+00,0.0000000000e+00,1.1395311330e+03;
1.1957431189e+02,-0.0000000000e+00,-0.0000000000e+00,-1.1956756736e+02;
7.5203829169e+02,-3.0129088787e+01,-1.3604267924e+01,7.5131135627e+02;
1.1926029860e+02,-1.0770953039e+01,2.1706054722e+01,-1.1676574703e+02;
3.8780685456e+02,4.0900041826e+01,-8.1017867983e+00,3.8541795636e+02;
3.4581654830e+01,2.2438301523e+00,-3.3414490230e+00,3.4346627133e+01;
3.5322519973e+02,3.8656211674e+01,-4.7603377753e+00,3.5107132923e+02;
1.4917829804e+02,0.0000000000e+00,0.0000000000e+00,1.4917289200e+02;
1.2574059267e+03,-0.0000000000e+00,-0.0000000000e+00,-1.2574052854e+03;
1.4950042463e+02,2.8289172452e+01,-2.7551635018e+01,1.4418527731e+02;
4.2471287052e+02,-2.5900585167e+01,-3.4984761392e+01,-4.2247442010e+02;
8.3237092962e+02,-2.3885872850e+00,6.2536396410e+01,-8.2994325057e+02;
7.9606467511e+02,-3.9852566149e+00,5.8378534470e+01,-7.9391122388e+02;
3.6306254514e+01,1.5966693300e+00,4.1578619394e+00,-3.6032026698e+01;
6.5186013125e+01,0.0000000000e+00,0.0000000000e+00,6.5186013076e+01;
7.2804478179e+02,-0.0000000000e+00,-0.0000000000e+00,-7.2804478178e+02;
5.6409721145e+01,2.4578885749e+01,2.3069546013e+00,5.0720932257e+01;
5.0300396238e+02,-6.7509445356e+01,6.5245862098e+01,-4.9416438401e+02;
2.3381711139e+02,4.2930559607e+01,-6.7552816699e+01,-2.1941531695e+02;
1.5464478778e+02,2.6972564637e+01,-4.9555266464e+01,-1.4398530033e+02;
7.9172323608e+01,1.5957994970e+01,-1.7997550235e+01,-7.5430016622e+01;
2.8499454746e+01,0.0000000000e+00,0.0000000000e+00,2.8499454631e+01;
6.8651520737e+02,-0.0000000000e+00,-0.0000000000e+00,-6.8651520736e+02;
1.3174081633e+02,-7.1728818760e+01,-1.9248944478e+01,-1.0881221152e+02;
4.2939681471e+01,1.9587707630e+01,3.6333606393e+01,-1.1832455139e+01;
5.4033416431e+02,5.2141111130e+01,-1.7084661914e+01,-5.3737108607e+02;
5.3821479331e+02,5.2629497610e+01,-1.6548276556e+01,-5.3537972904e+02;
